,washer_dryer_10_Trans_V7_gradTruth,washer_dryer_10_Trans_V7_predicted
0,0.0,0.05634989
1,0.0,0.048568666
2,0.0,0.050732315
3,0.0,0.051550657
4,0.0,0.050850764
5,0.0,0.050656512
6,0.0,0.051104635
7,0.0,0.050664946
8,0.0,0.05069238
9,0.0,0.051493376
10,0.0,0.05100286
11,0.0,0.05134538
12,0.0,0.059151143
13,0.0,0.069420725
14,0.0,0.06960744
15,0.0,0.06853357
16,0.0,0.06517212
17,0.0,0.064820156
18,0.0,0.061483115
19,0.0,0.08486843
20,0.0,0.073370874
21,0.0,0.069969594
22,0.0,0.070411846
23,0.0,0.07165472
24,0.0,0.070058316
25,0.0,0.070552185
26,0.0,0.070529744
27,0.0,0.06930253
28,0.0,0.06912926
29,0.0,0.07026707
30,0.0,0.06012425
31,0.0,0.07554807
32,0.0,0.07359648
33,0.0,0.07304445
34,0.0,0.06989735
35,0.0,0.07114534
36,0.0,0.067331254
37,0.0,0.026944265
38,0.0,0.028410584
39,0.0,0.031983227
40,0.0,0.03265752
41,0.0,0.03102824
42,0.0,0.029280782
43,0.0,0.03101714
44,0.0,0.030463934
45,0.0,0.029578432
46,0.0,0.17459054
47,0.0,-0.16433501
48,0.0,0.006945163
49,0.0,-0.0012579262
50,0.0,0.0030771494
51,0.0,0.014238149
52,0.0,0.009254664
53,0.0,0.008060247
54,0.0,0.012379646
55,0.0,0.012277186
56,0.0,0.012098789
57,0.0,0.0103520155
58,0.0,0.012178272
59,0.0,0.011182874
60,0.0,0.012206823
61,0.0,0.013616562
62,0.0,0.011868209
63,0.0,0.009772807
64,0.0,0.0077946186
65,0.0,0.011260331
66,0.0,0.0118725
67,0.0,0.011833072
68,0.0,0.015602589
69,0.0,0.019298017
70,0.0,0.020695195
71,0.0,0.01985547
72,0.0,0.01879637
73,0.0,0.020412594
74,0.0,0.019981086
75,0.0,0.016406968
76,0.0,0.019848824
77,0.0,0.0191997
78,0.0,0.020033225
79,0.0,0.019478545
80,0.0,0.020442888
81,0.0,0.015681833
82,0.0,0.019213632
83,0.0,0.016913176
84,0.0,0.01717782
85,0.0,0.0150363445
86,0.0,0.015425384
87,0.0,0.021813586
88,0.0,0.019023523
89,0.0,0.011952966
90,0.0,0.021095604
91,0.0,0.020048305
92,0.0,0.034691498
93,0.0,0.09117368
94,0.0,0.10022372
95,0.0,0.10866137
96,0.0,0.10159156
97,0.0,0.139718
98,0.0,0.105681255
99,0.0,0.1090768
100,0.0,0.10682699
101,0.0,0.105751514
102,0.0,0.106112316
103,0.0,0.10543014
104,0.0,0.10434592
105,0.0,0.10567199
106,0.0,0.10601263
107,0.0,0.1058152
108,0.0,0.105020955
109,0.0,0.10663074
110,0.0,0.105509594
111,0.0,0.1049806
112,0.0,0.10597223
113,0.0,0.10542643
114,0.0,0.1065924
115,0.0,0.10573876
116,0.0,0.10729243
117,0.0,0.10693735
118,0.0,0.10582471
119,0.0,0.104688734
120,0.0,0.10588567
121,0.0,0.105501324
122,0.0,0.104634866
123,0.0,0.10548064
124,0.0,0.10541931
125,0.0,0.10534756
126,0.0,0.105688125
127,0.0,0.10442181
128,0.0,0.10443467
129,0.0,0.1054869
130,0.0,0.10436311
131,0.0,0.1054904
132,0.0,0.10518254
133,0.0,0.1051642
134,0.0,0.10540809
135,0.0,0.10609454
136,0.0,0.105694145
137,0.0,0.104578406
138,0.0,0.1059089
139,0.0,0.10855839
140,0.0,0.58088106
141,0.0,0.0660391
142,0.0,0.14015424
143,0.0,0.065128535
144,0.0,0.09758255
145,0.0,0.11381543
146,0.0,0.109185606
147,0.0,0.09139669
148,0.0,-0.08991209
149,0.0,0.05961843
150,0.0,0.06537995
151,0.0,0.08943495
152,0.0,0.08506939
153,0.0,0.083351076
154,0.0,0.08279498
155,0.0,0.08806592
156,0.0,0.088579565
157,0.0,0.08815208
158,0.0,0.08887392
159,0.0,0.08827031
160,0.0,0.08700055
161,6.0,0.07834254
162,6.0,0.087790966
163,6.0,0.08846861
164,6.0,0.088765636
165,6.0,0.08934517
166,6.0,0.08927187
167,6.0,0.08914322
168,6.0,0.089305
169,6.0,0.089331314
170,6.0,0.089071676
171,6.0,0.0891566
172,6.0,0.08934569
173,6.0,0.08896059
174,6.0,0.08937882
175,6.0,0.08913118
176,6.0,0.08898418
177,6.0,0.089364454
178,6.0,0.089320496
179,6.0,0.089206055
180,6.0,0.08924155
181,6.0,0.08892754
182,6.0,0.0885371
183,6.0,0.08939426
184,6.0,0.089463085
185,6.0,0.091560304
186,6.0,0.098164976
187,6.0,0.11352967
188,6.0,0.14573881
189,6.0,0.14968252
190,6.0,0.08343363
191,6.0,0.10356665
192,6.0,0.08918485
193,6.0,0.10322136
194,6.0,0.09523848
195,6.0,0.57672334
196,6.0,0.044712827
197,6.0,0.13156483
198,6.0,0.09453711
199,6.0,0.093915105
200,6.0,0.11459006
201,6.0,0.10387361
202,6.0,0.095360845
203,6.0,0.09577362
204,6.0,-0.08334386
205,6.0,0.064897835
206,6.0,0.05992149
207,6.0,0.089216635
208,6.0,0.08674663
209,6.0,0.08735408
210,6.0,0.08860153
211,6.0,0.09099913
212,6.0,0.08923033
213,6.0,0.08906716
214,6.0,0.08913414
215,6.0,0.08890915
216,6.0,0.08939265
217,6.0,0.08921689
218,6.0,0.089054346
219,6.0,0.08871654
220,6.0,0.089196414
221,6.0,0.08903164
222,6.0,0.088989556
223,5.0,0.08918376
224,6.0,0.08912796
225,6.0,0.089019984
226,6.0,0.08897559
227,6.0,0.08918303
228,6.0,0.08907747
229,6.0,0.088730246
230,6.0,0.08912678
231,6.0,0.089148715
232,6.0,0.089492574
233,6.0,0.09043999
234,6.0,0.09199986
235,6.0,0.09388311
236,6.0,0.09533064
237,6.0,0.09248167
238,5.0,0.083165616
239,6.0,0.08142084
240,6.0,0.0941176
241,5.0,0.09669918
242,6.0,0.11403747
243,6.0,0.14383551
244,6.0,0.14970686
245,6.0,0.08247572
246,6.0,0.1087143
247,6.0,0.090904534
248,6.0,0.09872562
249,6.0,0.09743534
250,6.0,0.5789819
251,6.0,0.052839294
252,6.0,0.12551571
253,6.0,0.057215154
254,6.0,0.12510936
255,6.0,0.111171305
256,5.0,0.11026728
257,6.0,0.094647706
258,6.0,0.09530528
259,6.0,0.100218326
260,5.0,-0.08348909
261,6.0,0.056999087
262,6.0,0.044365883
263,6.0,0.08914207
264,6.0,0.08755748
265,6.0,0.08857699
266,6.0,0.08875765
267,5.0,0.08878589
268,488.0,0.08876005
269,540.0,0.19078182
270,439.0,0.1768421
271,453.0,0.17642556
272,502.0,0.17554373
273,477.0,0.17562446
274,535.0,0.1756236
275,427.0,0.17565033
276,565.0,0.17565031
277,358.0,0.17560808
278,613.0,0.17563681
279,341.0,0.17573947
280,552.0,0.17576976
281,395.0,0.17593433
282,382.0,0.17612247
283,577.0,0.17617354
284,467.0,0.17588484
285,352.0,0.1751321
286,522.0,0.17429392
287,449.0,0.17487253
288,436.0,0.17751604
289,431.0,0.17986171
290,374.0,0.18031812
291,333.0,0.18246567
292,354.0,0.17943676
293,574.0,0.17016971
294,414.0,0.16785298
295,482.0,0.18039292
296,505.0,0.18326679
297,531.0,0.20195162
298,372.0,0.23621708
299,378.0,0.24420735
300,462.0,0.17437331
301,481.0,0.1905149
302,390.0,0.18022059
303,415.0,0.60460985
304,369.0,0.35598454
305,483.0,0.42333347
306,530.0,0.43675995
307,304.0,0.45849663
308,579.0,0.47949475
309,403.0,0.4747401
310,435.0,0.50724876
311,521.0,0.4867242
312,326.0,0.4961998
313,477.0,0.059884414
314,494.0,0.14919473
315,308.0,0.15126252
316,528.0,0.18226272
317,398.0,0.19456992
318,470.0,0.19934991
319,465.0,0.17924821
320,358.0,0.18095902
321,533.0,0.18148403
322,466.0,0.18185158
323,463.0,0.18161348
324,571.0,0.18154038
325,443.0,0.18160269
326,517.0,0.18165517
327,332.0,0.18166143
328,358.0,0.18165126
329,493.0,0.18165469
330,474.0,0.18167546
331,404.0,0.1816322
332,480.0,0.18153489
333,339.0,0.18143775
334,396.0,0.18146358
335,396.0,0.18175231
336,478.0,0.18225875
337,350.0,0.18253057
338,529.0,0.182211
339,348.0,0.18168142
340,525.0,0.18110506
341,490.0,0.1799803
342,381.0,0.1804835
343,398.0,0.1836245
344,420.0,0.18637386
345,390.0,0.18707854
346,347.0,0.18975818
347,489.0,0.18844746
348,483.0,0.1794332
349,427.0,0.18327926
350,428.0,0.2150629
351,438.0,0.26122597
352,559.0,0.28754014
353,397.0,0.22851168
354,327.0,0.25518537
355,480.0,0.65119517
356,330.0,0.43035096
357,465.0,0.51091594
358,477.0,0.5319512
359,447.0,0.54101396
360,543.0,0.5222337
361,303.0,0.4905182
362,531.0,0.46225068
363,451.0,0.022284627
364,376.0,0.15985776
365,511.0,0.16277374
366,312.0,0.19279441
367,484.0,0.18199494
368,535.0,0.17323767
369,383.0,0.17936009
370,476.0,0.18315539
371,500.0,0.18313238
372,348.0,0.18145558
373,504.0,0.18108703
374,353.0,0.18165335
375,524.0,0.18195006
376,363.0,0.18179244
377,530.0,0.18162964
378,440.0,0.18164833
379,346.0,0.18171257
380,508.0,0.18170531
381,341.0,0.18168187
382,553.0,0.18170789
383,331.0,0.18178204
384,526.0,0.18184313
385,409.0,0.18181363
386,394.0,0.18167055
387,411.0,0.18152127
388,443.0,0.18148348
389,346.0,0.18155222
390,543.0,0.18181896
391,319.0,0.1824367
392,390.0,0.18281084
393,328.0,0.18250225
394,551.0,0.18207109
395,403.0,0.18186143
396,462.0,0.18151788
397,372.0,0.18379599
398,317.0,0.19030172
399,364.0,0.19736314
400,479.0,0.20166247
401,468.0,0.20241597
402,440.0,0.22098888
403,445.0,0.28134298
404,579.0,0.71866477
405,351.0,0.45727307
406,314.0,0.5121994
407,412.0,0.5176259
408,455.0,0.5460718
409,291.0,0.5357896
410,467.0,0.49467587
411,270.0,0.46155658
412,515.0,0.4388376
413,288.0,0.025668696
414,557.0,0.15670371
415,424.0,0.16597107
416,423.0,0.18906559
417,488.0,0.18100241
418,404.0,0.17723885
419,445.0,0.18024606
420,493.0,0.18331958
421,376.0,0.18257472
422,467.0,0.18116611
423,544.0,0.1811057
424,465.0,0.18168116
425,529.0,0.18184455
426,328.0,0.18165009
427,503.0,0.18153304
428,376.0,0.18158452
429,362.0,0.18164808
430,468.0,0.18165249
431,367.0,0.18163368
432,588.0,0.18162696
433,328.0,0.18161625
434,557.0,0.1815924
435,339.0,0.1815741
436,392.0,0.18159863
437,449.0,0.18165195
438,3.0,0.18171628
439,3.0,0.18172745
440,561.0,0.11623369
441,539.0,0.20795804
442,516.0,0.18281509
443,505.0,0.19464849
444,542.0,0.19128266
445,491.0,0.1798583
446,477.0,0.17865409
447,469.0,0.18425676
448,517.0,0.19682169
449,486.0,0.5986327
450,530.0,0.38452625
451,540.0,0.46747038
452,350.0,0.542611
453,458.0,0.5982038
454,497.0,0.54674244
455,492.0,0.5563966
456,539.0,0.5555614
457,458.0,0.5502497
458,476.0,0.074403346
459,462.0,0.19569457
460,516.0,0.18077366
461,578.0,0.18568571
462,560.0,0.15939671
463,441.0,0.19972141
464,439.0,0.18483096
465,427.0,0.18692322
466,515.0,0.18112183
467,465.0,0.18091619
468,419.0,0.18177919
469,513.0,0.18204519
470,452.0,0.18157351
471,459.0,0.18140142
472,471.0,0.1815467
473,380.0,0.18165745
474,512.0,0.18162219
475,417.0,0.18156898
476,476.0,0.18156946
477,398.0,0.18159196
478,458.0,0.18159801
479,535.0,0.1815915
480,529.0,0.18158308
481,515.0,0.18158057
482,502.0,0.1815788
483,460.0,0.1815783
484,456.0,0.1815441
485,481.0,0.1812944
486,374.0,0.18055774
487,472.0,0.17946835
488,429.0,0.17714302
489,382.0,0.18022686
490,413.0,0.261255
491,432.0,0.58811694
492,376.0,0.3766048
493,410.0,0.3906617
494,419.0,0.4041499
495,402.0,0.46138996
496,419.0,0.49617258
497,430.0,0.53883374
498,392.0,0.562129
499,441.0,0.52449715
500,392.0,0.5615109
501,396.0,0.106641844
502,2.0,0.24482027
503,9.0,0.25363812
504,9.0,0.21324576
505,9.0,0.16142102
506,9.0,0.113750935
507,9.0,0.09406723
508,9.0,0.12859231
509,9.0,0.10685976
510,9.0,0.107516006
511,9.0,0.106567904
512,9.0,0.113761455
513,9.0,0.10504413
514,9.0,0.10880837
515,9.0,0.10810521
516,9.0,0.11039838
517,6.0,0.11007336
518,6.0,0.106648356
519,6.0,0.10440838
520,6.0,0.10473949
521,6.0,0.10336678
522,6.0,0.10655376
523,6.0,0.10681042
524,6.0,0.10476442
525,6.0,0.10490382
526,6.0,0.105458975
527,6.0,0.10512972
528,6.0,0.10449134
529,6.0,0.104909256
530,6.0,0.105554014
531,6.0,0.10489708
532,6.0,0.10585037
533,6.0,0.575981
534,6.0,0.30966204
535,6.0,0.34374022
536,6.0,0.4042712
537,6.0,0.4769472
538,6.0,0.5089586
539,6.0,0.55286884
540,6.0,0.5538025
541,6.0,0.5002454
542,6.0,0.52059317
543,6.0,0.016165301
544,6.0,0.17434353
545,6.0,0.15817383
546,6.0,0.19847004
547,6.0,0.18227433
548,6.0,0.14866748
549,6.0,0.11369997
550,6.0,0.09323248
551,6.0,0.1262804
552,6.0,0.09758347
553,6.0,0.087806895
554,6.0,0.08595753
555,6.0,0.09298544
556,6.0,0.1011
557,6.0,0.10461567
558,6.0,0.099007905
559,6.0,0.10126896
560,6.0,0.10032511
561,6.0,0.10029264
562,6.0,0.2869016
563,6.0,0.5583908
